Grade,Year,County,Count
Grades 9-12,2014,Washington County,6670
Grades 9-12,2014,Wicomico County,3988
Grades 9-12,2014,Worcester County,1996
Grades 9-12,2014,Total,253891
Grades Pre-K,2015,Baltimore City,4691
Grades Pre-K,2015,Allegany County,495
Grades Pre-K,2015,Anne Arundel County,2170
Grades Pre-K,2015,Baltimore County,3827
Grades Pre-K,2015,Calvert County,410
Grades Pre-K,2015,Caroline County,297
Grades Pre-K,2015,Carroll County,373
Grades Pre-K,2015,Cecil County,758
Grades Pre-K,2015,Charles County,835
Grades Pre-K,2015,Dorchester County,224
Grades Pre-K,2015,Frederick County,1185
Grades Pre-K,2015,Garrett County,174
Grades Pre-K,2015,Harford County,811
Grades Pre-K,2015,Howard County,1236
Grades Pre-K,2015,Kent County,120
Grades Pre-K,2015,Montgomery County,4342
Grades Pre-K,2015,Prince George's County,5865
Grades Pre-K,2015,Queen Anne's County,256
Grades Pre-K,2015,St. Mary's County,995
Grades Pre-K,2015,Somerset County,192
Grades Pre-K,2015,Talbot County,224
Grades Pre-K,2015,Washington County,579
Grades Pre-K,2015,Wicomico County,587
Grades Pre-K,2015,Worcester County,388
Grades Pre-K,2015,Total,31034
Grades K-5,2015,Baltimore City,40269
Grades K-5,2015,Allegany County,3859
Grades K-5,2015,Anne Arundel County,37777
Grades K-5,2015,Baltimore County,52361
Grades K-5,2015,Calvert County,6641
Grades K-5,2015,Caroline County,2546
Grades K-5,2015,Carroll County,10737
Grades K-5,2015,Cecil County,6938
Grades K-5,2015,Charles County,11149
Grades K-5,2015,Dorchester County,2245
Grades K-5,2015,Frederick County,18080
Grades K-5,2015,Garrett County,1686
Grades K-5,2015,Harford County,16675
Grades K-5,2015,Howard County,24283
Grades K-5,2015,Kent County,896
Grades K-5,2015,Montgomery County,71505
Grades K-5,2015,Prince George's County,60256
Grades K-5,2015,Queen Anne's County,3396
Grades K-5,2015,St. Mary's County,8150
Grades K-5,2015,Somerset County,1328
Grades K-5,2015,Talbot County,2045
Grades K-5,2015,Washington County,10031
Grades K-5,2015,Wicomico County,7105
Grades K-5,2015,Worcester County,2830
Grades K-5,2015,Total,402788
Grades 6-8,2015,Baltimore City,16960
Grades 6-8,2015,Allegany County,1899
Grades 6-8,2015,Anne Arundel County,17769
Grades 6-8,2015,Baltimore County,23936
Grades 6-8,2015,Calvert County,3801
Grades 6-8,2015,Caroline County,1237
Grades 6-8,2015,Carroll County,6086
Grades 6-8,2015,Cecil County,3443
Grades 6-8,2015,Charles County,5914
Grades 6-8,2015,Dorchester County,1019
Grades 6-8,2015,Frederick County,9035
Grades 6-8,2015,Garrett County,875
Grades 6-8,2015,Harford County,8651
Grades 6-8,2015,Howard County,12730
Grades 6-8,2015,Kent County,447
Grades 6-8,2015,Montgomery County,34411
Grades 6-8,2015,Prince George's County,27425
Grades 6-8,2015,Queen Anne's County,1828
Grades 6-8,2015,St. Mary's County,3867
Grades 6-8,2015,Somerset County,640
Grades 6-8,2015,Talbot County,1002
Grades 6-8,2015,Washington County,5087
Grades 6-8,2015,Wicomico County,3014
Grades 6-8,2015,Worcester County,1407
Grades 6-8,2015,Total,192483
Grades 9-12,2015,Baltimore City,21746
Grades 9-12,2015,Allegany County,2559
Grades 9-12,2015,Anne Arundel County,22671
Grades 9-12,2015,Baltimore County,31015
Grades 9-12,2015,Calvert County,5165
Grades 9-12,2015,Caroline County,1522
Grades 9-12,2015,Carroll County,8355
Grades 9-12,2015,Cecil County,4720
Grades 9-12,2015,Charles County,8409
Grades 9-12,2015,Dorchester County,1251
Grades 9-12,2015,Frederick County,12355
Grades 9-12,2015,Garrett County,1121
Grades 9-12,2015,Harford County,11311
Grades 9-12,2015,Howard County,16621
Grades 9-12,2015,Kent County,566
Grades 9-12,2015,Montgomery County,46122
Grades 9-12,2015,Prince George's County,35393
Grades 9-12,2015,Queen Anne's County,2237
Grades 9-12,2015,St. Mary's County,4929
Grades 9-12,2015,Somerset County,748
Grades 9-12,2015,Talbot County,1354
Grades 9-12,2015,Washington County,6606
Grades 9-12,2015,Wicomico County,4084
Grades 9-12,2015,Worcester County,2035
Grades 9-12,2015,Total,252895
Grades Pre-K,2016,Baltimore City,4488
Grades Pre-K,2016,Allegany County,490
Grades Pre-K,2016,Anne Arundel County,2271
Grades Pre-K,2016,Baltimore County,3831
